,Name,image_link,tickets_url,start_date,start_time,end_date,end_time,venue,address_1,address_2,organizer,organizer_url,url
10,Portfolio photographers in india,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F512256629%2F460039656348%2F1%2Foriginal.20230510-214308?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=517%2C0%2C926%2C463&s=351914a515af648719a31815f62cbd6e,https://www.eventbrite.com/checkout-external?eid=634270188207,2023-06-20,19:00,2023-06-20,22:00,Gyan Kendra Secondary School,"A-1, Surya Kiran, Model Town",,A Rrajani,https://www.eventbrite.com/o/a-rrajani-30712049920,https://www.eventbrite.com/e/portfolio-photographers-in-india-tickets-634270188207
11,JEWELLERY WORLD EXHIBITION,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F417663579%2F797663167373%2F1%2Foriginal.20230104-071109?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C260%2C1042%2C521&s=6d3b154013134250b16c4b9304c785cc,https://www.eventbrite.com/checkout-external?eid=504272682167,2023-07-21,22:00,2023-07-24,05:00,The St. Regis Mumbai,462 Senapati Bapat Marg,,Insignia Exhibitions & Events,https://www.eventbrite.com/o/insignia-exhibitions-amp-events-41131628963,https://www.eventbrite.com/e/jewellery-world-exhibition-tickets-504272682167
12,How to Improve Your Memory - Mumbai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F409246279%2F768571642273%2F1%2Foriginal.jpg?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=7e4f71281e6edb1fe4596714d1ffeb3f,https://www.eventbrite.com/checkout-external?eid=487969137827,2023-06-14,20:30,2023-06-14,21:30,Mumbai,[ONLINE EVENT],,Iris Reading,https://www.eventbrite.com/o/iris-reading-58158045383,https://www.eventbrite.com/e/how-to-improve-your-memory-mumbai-tickets-487969137827
13,Harmonise Your Life: Lessons from Music,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F474911269%2F213611455990%2F1%2Foriginal.20230322-094735?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C183%2C1748%2C874&s=5e12779c16e71b9e0551b71397bcae73,https://www.eventbrite.com/checkout-external?eid=596641459667,2023-06-24,18:00,2023-06-24,20:00,New Acropolis Cultural Organization,Shahid Bhagat Singh Road,,New Acropolis India ,https://www.eventbrite.com/o/new-acropolis-india-30948762389,https://www.eventbrite.com/e/harmonise-your-life-lessons-from-music-tickets-596641459667
14,Canada Immigration - Live Q&A (Mumbai),https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F469463529%2F1432415879683%2F1%2Foriginal.20230315-105940?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=7fff008a51378ebe99b3166c1fd12d83,https://www.eventbrite.com/checkout-external?eid=626103541547,2023-06-15,21:30,2023-06-15,22:30,Online over ZOOM,28-B Western Express Highway,,HIC Immigration Consulting Inc.,https://www.eventbrite.com/o/hic-immigration-consulting-inc-63853728013,https://www.eventbrite.com/e/canada-immigration-live-qa-mumbai-tickets-626103541547
15,Free Career Empowerment & Meditation Class - Mumbai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F355757199%2F572555648333%2F1%2Foriginal.20220916-140501?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=4557572ea790d750fa4213c70104244b,https://www.eventbrite.com/checkout-external?eid=556648660127,2023-06-10,06:00,2023-06-10,07:00,Online via Zoom,See Confirmation Email for Zoom Link,,Become Butterfly,https://www.eventbrite.com/o/become-butterfly-34346634153,https://www.eventbrite.com/e/free-career-empowerment-meditation-class-mumbai-tickets-556648660127
16,Investing in Innovation - Online Webinar,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F524449059%2F326000112825%2F1%2Foriginal.20230529-102420?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=fe4e17d7a54056b383669356bcadec4e,https://www.eventbrite.com/checkout-external?eid=645898859877,2023-06-13,16:00,2023-06-13,17:15,Online Webinar Mumbai,Mumbai,,The Atlantic Society - Private Member's Group,https://www.eventbrite.co.uk/o/the-atlantic-society-private-members-group-26229658289,https://www.eventbrite.co.uk/e/investing-in-innovation-online-webinar-tickets-645898859877
17,Speed Reading Crash Course - Mumbai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F408904039%2F768571642273%2F1%2Foriginal.jpg?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=7748db42f63d1661fbb214f3aee62b31,https://www.eventbrite.com/checkout-external?eid=487231892707,2023-06-13,20:30,2023-06-13,21:30,Mumbai,[ONLINE EVENT],,Iris Reading,https://www.eventbrite.com/o/iris-reading-58158045383,https://www.eventbrite.com/e/speed-reading-crash-course-mumbai-tickets-487231892707
18,ONLINE : Free Meditation course -- Mumbai. Experience the peace & balance,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F145648637%2F250110139773%2F1%2Foriginal.20210826-063353?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=175%2C0%2C700%2C350&s=3c1d157355100e95d7d117a0c9446050,https://www.eventbrite.com/checkout-external?eid=168535663707,2023-06-10,21:00,2023-06-10,22:00,Online - Zoom,https://us02web.zoom.us/j/5587014223?pwd=S2xiMmd2Zk1nMDkwUFRBL2c5NEVVQT09,,We Meditate,https://www.eventbrite.com/o/we-meditate-34316778617,https://www.eventbrite.com/e/online-free-meditation-course-mumbai-experience-the-peace-balance-tickets-168535663707
19,Tree Plantation & Restoration Drive,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F525839049%2F1297865715663%2F1%2Foriginal.20230531-060755?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C10%2C1316%2C658&s=7ed576ef94dbfede31696508234f90d0,https://www.eventbrite.com/checkout-external?eid=638521052657,2023-06-11,07:30,2023-06-11,10:30,Picnic Point Garden,Aarey Road,#Unit 25,ConnectFor,https://www.eventbrite.com/o/connectfor-57764741393,https://www.eventbrite.com/e/tree-plantation-restoration-drive-tickets-638521052657
