,Name,Type,Image Link,Discription,Link
17,H2O Water Sports,['Theme Park'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/H2O-Water-Sports_Mumbai_417352_211_mumbai_218_168.jpg," Located in Chowpatty, just 3 kilometres away from Marine Drive, H2O Water Sports is a popular beachside water park that offers an ultimate experience of fun and adventure. It has a wide assortment of activities – from boating to jet skiing, sailing, water skiing, parasailing, wakeboarding and kayaking. You can ... ", //www.makemytrip.com/travel-guide/mumbai/h2o-water-sports-theme-parks.html 
18,Hakone,['Theme Park'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Hakone_Mumbai_417353_211_mumbai_218_168.jpg," Situated in Hiranandani Gardens, Hakone is a one-stop destination for people of all ages. With a wide range of games, rides and dining options, this amusement park ensures you have an enjoyable time. Kids and adults can have fun at the Entertainment Centre that offers simulators, redemption machines and LAN ... ", //www.makemytrip.com/travel-guide/mumbai/hakone-theme-parks.html 
19,Happy Planet,['Places to see around'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Happy Planet, located on Eastern Express Highway, is the perfect destination for leisure travellers in Mumbai. Sprawling over an area of 15000 sq ft, it is an exciting play land for people of all ages. From bumper boat, cannon shooting and inflatable to long and high slides (starting at 22 ... ", //www.makemytrip.com/travel-guide/mumbai/happy-planet-places-to-see-around.html 
20,Jogger's Park,['Park/Garden'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Joggers-Park_Mumbai_417355_211_mumbai_218_168.jpg," Jogger's Park is a 400 metre long jogging track along the beautiful coastline of Bandra in Mumbai. It is located near Otters Club, one of the premier clubs of the city. Late Sir Oliver Andrade gifted the Jogger's Park project and initiative as a token of love to the city. ... ", //www.makemytrip.com/travel-guide/mumbai/jogger039s-park-parks-gardens.html 
21,Juhu Beach,['Beach'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Juhu-Beach_Mumbai_417356_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/juhu-beach-beaches.html 
22,Kamala Nehru Park,"['Park/Garden', ' For Kids']",//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Nestled in the posh Malabar Hill locality of Mumbai, Kamala Nehru Park is a tourist hotspot and popular picnic haunt in the city. This shoe-shaped park spans over an area of about 4000 sq ft that is covered with greenery. Shady trees are planted all across this green space. Colourful ... ", //www.makemytrip.com/travel-guide/mumbai/kamala-nehru-park-parks-gardens.html 
23,Madh Island,['Places to see around'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Approximately an hour's drive from the heart of the city, Madh Island is a site that possesses some of Maharashtra's most beautiful farmlands and fishing villages. For those who are in search of a peaceful place, this is an ideal place to be. It is a rural area with beautiful ... ", //www.makemytrip.com/travel-guide/mumbai/madh-island-places-to-see-around.html 
24,Mahakali Caves,"['Religious', ' Places to see around']",//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Mahakali-Caves_417359_211_mumbai_218_168.jpg," Lying at an elevation of 230 feet above sea level in Andheri East, Mahakali Caves is a Buddhist monastery. Formerly known as Kondivita Caves, this site has great religious significance. It is a set of 19 rock-cut caves that was built between 1st century and 6th century. Carved out of ... ", //www.makemytrip.com/travel-guide/mumbai/mahakali-caves-religious.html 
25,Malabar Hill,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Malabar Hills_417360_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/malabar-hill-landmarks.html 
26,Marve Beach,['Beach'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg,, //www.makemytrip.com/travel-guide/mumbai/marve-beach-beaches.html 
27,Nariman Point,['Landmark'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," ariman Point is an upmarket area, which earns recognition as the business district of Mumbai. In terms of property trends and rates, this place ranks fourth in the list of world's most expensive office locations. This landmark is situated towards the southern tip of the famous Marine Drive, overlooking the ... ", //www.makemytrip.com/travel-guide/mumbai/nariman-point-landmarks.html 
28,Parliament Building (Mantralaya),['Landmark'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg,, //www.makemytrip.com/travel-guide/mumbai/parliament-building-mantralaya-landmarks.html 
29,Powai Lake,['Lake/Waterfall'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Powai-Lake_417364_211_mumbai_218_168.jpg," Powai Lake, built by the British in the year 1799, is an over 214-year old artificial lake in Powai (Mumbai). Located at an elevation of 58.5 m above sea level, this lake has a surface area of 2.1 sq km and varying depths that range between 3 m and 12 ... ", //www.makemytrip.com/travel-guide/mumbai/powai-lake-lakes-and-waterfalls.html 
30,Priyadarshini Park and Sports Complex,['Park/Garden'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Priyadarshini-Park-and-Sports-Complex_417365_211_mumbai_218_168.jpg," Priyadarshini Park and Sports Complex is a popular sea-facing attraction that is frequented by locals and tourists throughout the year. Lush greenery blankets the park, offers a serene atmosphere. Mud tracks are formed in the park for brisk walking and jogging, which is why it is also famous as a ... ", //www.makemytrip.com/travel-guide/mumbai/priyadarshini-park-and-sports-complex-parks-gardens.html 
31,Smaaash,"['Adventure', ' Relaxation', ' For Kids']",//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg,, //www.makemytrip.com/travel-guide/mumbai/smaaash-for-kids.html 
32,Snow World,"['Theme Parks', ' For Kids']",//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Would you like to experience snowfall in Mumbai? Well, given the geographical location of the city, it seems impossible. However, with Snow World that offers unique opportunities to indulge in snow sports and adventure activities in the city, it is possible! Come to Snow World, located in Kurla, and experience ... ", //www.makemytrip.com/travel-guide/mumbai/snow-world-for-kids.html 
33,Dhobi Ghat,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Dhobi-Ghat_Mumbai_417368_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/dhobi-ghat-landmarks.html 
34,Five Gardens,['Park/Garden'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Rejuvenate your senses at the beautiful Five Gardens! Created by Mancherji Joshi about 80 years ago, this plot lies between King's Circle and Dadar in Mumbai. Locals visit this beautifully manicured garden for spending moments of repose. At this garden, kids come to play while adults and old people come ... ", //www.makemytrip.com/travel-guide/mumbai/five-gardens-parks-gardens.html 
35,Bombay High Court,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Bombay-High-court_417370_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/bombay-high-court-landmarks.html 
36,Keneseth Eliyahoo Synagogue,"['Landmark', ' Religious']",//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," The Greek word 'synagogue' means 'house of prayer' and generally refers to Jewish prayer assemblies. Keneseth Eliyahoo Synagogue is a religious, heritage edifice, located in the Fort area of Mumbai. Jacob Elias Sassoon and his brothers built this old Orthodox synagogue in the honour of their father Eliyahoo Sassoon in ... ", //www.makemytrip.com/travel-guide/mumbai/keneseth-eliyahoo-synagogue-religious.html 
37,Mahalakshmi Race Course,"['Landmark', ' Sports']",//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Mahalakshmi-Race-Course_417373_211_mumbai_218_168.jpg," A prominent landmark in the vibrant city of Mumbai, Mahalakshmi Race Course earns recognition as one of the finest horse racing circuits across the Asiatic continent. The grandstand of this historical racecourse finds mention in the list of heritage structures in the country. Owned by the Royal Western India Turf ... ", //www.makemytrip.com/travel-guide/mumbai/mahalakshmi-race-course-landmarks.html 
38,Mumba Devi Temple,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Mumba Devi Temple is a renowned shrine in Mumbai, from where the city also got its name. It is dedicated to Goddess Mumbadevi who is regarded as the guardian deity of the region. The temple was first built in 1675 at Bori Bunder but was reconstructed at its present site ... ", //www.makemytrip.com/travel-guide/mumbai/mumba-devi-temple-religious.html 
39,Mumbai Port Trust Garden,['Park/Garden'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Located in Colaba at the southern tip of Mumbai, Mumbai Port Trust Garden (sometimes known as Sagar Upvan) is an ideal retreat. This beautiful green site is owned and maintained by the Mumbai Port Trust, which is evident from its name. The World Wildlife Fund (WWF) contributes in the maintenance ... ", //www.makemytrip.com/travel-guide/mumbai/mumbai-port-trust-garden-parks-gardens.html 
40,Nehru Centre,"['Landmark', ' Museum', ' For Kids']",//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Nehru Centre is a unique memorial complex dedicated to Pandit Jawaharlal Nehru. Established in 1972, it pays tribute to this luminary leader in a distinct way by incorporating fresh ideas, promoting new talent and preserving the heritage of the nation. The building of this modern centre is as contemporary and ... ", //www.makemytrip.com/travel-guide/mumbai/nehru-centre-landmarks.html 
41,Nehru Science Centre,"['Museum', ' For Kids']",//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Nehru-Science-Centre_mumbai_417377_211_mumbai_218_168.jpg," Nehru Science Centre is a wonderful initiative that covers various aspects of science and technology in a way that is both interesting and informative. It is a part of the National Council of Science Museums (NCSM), which is the administrative body for around 25 science centres and museums across the ... ", //www.makemytrip.com/travel-guide/mumbai/nehru-science-centre-museum.html 
42,Sewri Jetty,['Nature'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Sewri-Jetty_mumbai_417378_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/sewri-jetty-nature.html 
43,Superdrome,['Sports'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Superdrome_mumbai_417379_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/superdrome-sports.html 
44,Victoria Gardens or Jijamata Udyan,['Park/Garden'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Jijamata Udyan, formerly known as Rani Bagh or Victoria Gardens, is a popular place of interest in Mumbai. Also known as Veermata Jijabai Bhonsle Udyan, this beautiful garden houses the popular Mumbai Zoological Park and Bhau Daji Lad Museum. This entire property was originally owned by Jewish businessman David Sassoon, ... ", //www.makemytrip.com/travel-guide/mumbai/victoria-gardens-or-jijamata-udyan-parks-gardens.html 
45,Worli Sea Face,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Worli-Sea-Face_Mumbai_417381_211_mumbai_218_168.jpg," Featuring picturesque surroundings that are characterised by endless blue waters of the Arabian Sea and distant Haji Ali Dargah, Worli Sea Face is a posh area in South Mumbai. It is a business district and a major residential area, inhabited mostly by affluent people. Extending from the Worli Fort in ... ", //www.makemytrip.com/travel-guide/mumbai/worli-sea-face-landmarks.html 
46,Yazoo Park,['Theme Park'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Yazoo-Park_Mumbai_417382_211_mumbai_218_168.jpg," Located in Virar West, Yazoo Park is a popular attraction where people from the city and beyond pour in for fun and recreation. From rides, musical fountains and rock shows to games, spa and dining, there are plenty of offerings. To spend a memorable weekend or to add some enthralment ... ", //www.makemytrip.com/travel-guide/mumbai/yazoo-park-theme-parks.html 
47,Babulnath Temple,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg,, //www.makemytrip.com/travel-guide/mumbai/babulnath-temple-religious.html 
48,Dr. Bhau Daji Lad Museum,['Museum'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Dr_-Bhau-Daji-Lad-Museum_mumbai_417389_211_mumbai_218_168.jpg," Dr. Bhau Daji Lad Museum of Mumbai earns recognition as the oldest museum in the city and the third oldest across the country. It was inaugurated in 1857 as an exhibition of India's beautiful art and crafts. The present site of this museum came into existence in 1872, when it ... ", //www.makemytrip.com/travel-guide/mumbai/dr-bhau-daji-lad-museum-museum.html 
49,EsselWorld,['Theme Park'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Essel-World_417394_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/esselworld-theme-parks.html 
50,Magen David Synagogue,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg,, //www.makemytrip.com/travel-guide/mumbai/magen-david-synagogue-religious.html 
51,National Centre for the Performing Arts,['Cultural'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/National-Centre-for-the-Performing-Arts_mumbai_417398_211_mumbai_218_168.jpg," National Centre for the Performing Arts, abbreviated as NCPA, is an esteemed cultural institution in the vibrant metropolis of Mumbai. It is a multi-venue and multi-purpose complex that aims at promoting and preserving the rich Indian heritage - performing arts, literature, films and photography. This premier organisation plays host to ... ", //www.makemytrip.com/travel-guide/mumbai/national-centre-for-the-performing-arts-cultural.html 
52,Sanjay Gandhi National Park,['Nature'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Sanjay-Gandhi-National-Park_mumbai_417399_211_mumbai_218_168.jpg," Sanjay Gandhi National Park is a significant wildlife reserve which impresses visitors with its diverse flora and fauna. It was formed in 1969 by merging different forest reserves with the Borivali National Park, which was 20.26 sq km in area. The geographical expanse of the national park thus formed was ... ", //www.makemytrip.com/travel-guide/mumbai/sanjay-gandhi-national-park-nature.html 
53,Water Kingdom,['Theme Park'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Water-Kingdom_mumbai_417402_211_mumbai_218_168.jpg," Water Kingdom is an amusement park in Mumbai that is counted amongst the largest theme-based water parks across Asia. It is owned by Pan India Paryatan Private Limited (PIPPL), which is a part of the renowned Essel Group of Companies. This water park, along with the famous EsselWorld, covers an ... ", //www.makemytrip.com/travel-guide/mumbai/water-kingdom-theme-parks.html 
54,Church of St. Bonaventure,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Located amidst verdant green surroundings of Madh, Church of St. Bonaventure is one of the oldest shrines in Mumbai. Believed to have been built during the early years of the 15th century, this religious edifice was constructed by Portuguese Franciscans. Situated on Erangal Beach, this church is a suitable place ... ", //www.makemytrip.com/travel-guide/mumbai/church-of-st-bonaventure-religious.html 
55,St. Michael's Church,['Religious'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/St_-Michaels-Church_Mumbai_417406_211_mumbai_218_168.jpg," St. Michael's Church, located in Mahim, is one of Mumbai’s oldest catholic churches. It is also known as the Mahim Church. Originally built in the year 1534, this shrine was rebuilt a number of times. The structure that stands at present was designed in the year 1973. By far, one ... ", //www.makemytrip.com/travel-guide/mumbai/st-michael039s-church-religious.html 
56,Banganga,"['Religious', ' Cultural']",//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Banganga_mumbai_417410_211_mumbai_218_168.jpg," Banganga Tank is a sacred water reservoir, situated within the premises of the Walkeshwar Temple in Mumbai. It was constructed in AD 1127, under the patronage of a minister of the Silhara dynasty. The tank was destroyed during the Portuguese invasion but was rebuilt with the help of a donation ... ", //www.makemytrip.com/travel-guide/mumbai/banganga-religious.html 
57,Bombay Natural History Society,"['Museum', ' Nature']",//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg,, //www.makemytrip.com/travel-guide/mumbai/bombay-natural-history-society-museum.html 
58,Cathedral of the Holy Name,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Cathedral of the Holy Name is a celebrated shrine that is highly regarded by the Christian community in Mumbai. Situated in the prominent commercial centre of Colaba, it stands as a reminder of the colonial era. The foundation stone of the building was laid on 9th July 1902 while it ... ", //www.makemytrip.com/travel-guide/mumbai/cathedral-of-the-holy-name-religious.html 
59,Central Chinmaya Mission Trust,"['Religious', ' Cultural']",//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg,, //www.makemytrip.com/travel-guide/mumbai/central-chinmaya-mission-trust-cultural.html 
60,Dharavi,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Daharavi_Mumbai_417415_211_mumbai_218_168.jpg," Some would find it quite ironic that Mumbai, the capital of Maharashtra and often called India’s financial capital, is home to one of the largest slums in the world. The area is known as Dharavi, which in many ways sum up the extreme paradoxes that exist in India. There is ... ", //www.makemytrip.com/travel-guide/mumbai/dharavi-landmarks.html 
61,Haji Ali Dargah,"['Religious', ' Landmark']",//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Haji-Ali-Dargah_417416_211_mumbai_218_168.jpg," Haji Ali Dargah is a celebrated Islamic shrine, which earns immense recognition across the globe. This white edifice is nestled on a small islet that lies away from the city's shoreline, almost in the middle of the Arabian Sea. The reason behind the popularity and prominence of this religious complex ... ", //www.makemytrip.com/travel-guide/mumbai/haji-ali-dargah-religious.html 
62,Hedavde Mahalaxmi Temple,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Param Pujya Guruvarya Dadasaheb Hate Om Shree Maha Laxmi Mata Mandir Trust owns Hedavde Mahalaxmi Temple. The temple, situated in Hedavde village near Vasai, forms an important part of a famous Shakti Peetha. The Shakti Peetha to which this temple belongs is the one where Goddess Sati's ankle fell during ... ", //www.makemytrip.com/travel-guide/mumbai/hedavde-mahalaxmi-temple-religious.html 
63,ISKCON Temple Mumbai,['Religious'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/ISKCON-Temple_Mumbai_417422_211_mumbai_218_168.jpg, ISKCON Temple Mumbai is built over four acres of land in Juhu. The foundation of this shrine was laid by A.C. Bhaktivedanta Swami Prabhupada during the 1970s. The main deity of the temple is Sri Sri Radha Rasabihari (Lord Krishna). Sri Sri Gaura-Nitai and Sri Sri Sita Rama Laxman Hanuman ... , //www.makemytrip.com/travel-guide/mumbai/iskcon-temple-mumbai-religious.html 
64,Jain Temple Mumbai,['Religious'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Jain-Temple_417423_211_mumbai_218_168.jpg," Jain Temple Mumbai, also known as Babu Amichand Panalal Adishwarji Jain Temple, is a popular place of religious significance. Located in Walkeshwar area, this shrine is dedicated to Adishwara – the founder of Jainism. It was built more than 100 years ago in 1904 and is larger than most of ... ", //www.makemytrip.com/travel-guide/mumbai/jain-temple-mumbai-religious.html 
65,Kanheri Caves,"['Religious', ' Cultural']",//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Kanheri-Caves_Mumbai_417424_211_mumbai_218_168.jpg," A fascinating cluster of rock-cut monuments, Kanheri Caves is situated deep inside the famous Sanjay Gandhi National Park. These caves date back to the ancient times (3rd century BC to 11th century AD), and are believed to be the country's oldest and largest cave formations in a single hill. This ... ", //www.makemytrip.com/travel-guide/mumbai/kanheri-caves-religious.html 
66,Madh Fort,['Monument'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," The Portuguese built Madh Fort, or Versova Fort, as a watchtower during the 17th century. However, the Portuguese lost this fort to the Marathas in the 1739 war. It stands proudly on the Madh Island, close to the Aksa Beach in Mumbai. Communities of local fishermen presently inhabit the area ... ", //www.makemytrip.com/travel-guide/mumbai/madh-fort-monuments.html 
67,Mumbai Zoo (Veermata Jijabai Udyan),['Zoo/Aquarium'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Mumbai-Zoo_417429_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/mumbai-zoo-veermata-jijabai-udyan-zoo-and-aquariums.html 
68,Narmadeshwar Mahadev Mandir,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Lord Shiva, the Parameshwara or The Supreme God, is the main deity of the Narmadeshwar Mahadev Mandir in Mumbai. The temple houses a unique form of the deity known as Bana Lingam, which was obtained from the River Narmada. This Hindu shrine made of white marble is elegantly decorated with ... ", //www.makemytrip.com/travel-guide/mumbai/narmadeshwar-mahadev-mandir-religious.html 
